Identifier,TypeID,Type,Package,Class,Member,Is_inferred?,Parent_features,Feature,Is_fprivate?,Inferences
Errors.NoValueSet,2,Class,Errors,NoValueSet,,,,EVAL,x,
Errors,1,Package,Errors,,,,BASE ,BASE1,,
Errors.NoValueSet.NoValueSet,4,Constructor,Errors,NoValueSet,NoValueSet,,,EVAL,x,
Errors.NoTableFound,2,Class,Errors,NoTableFound,,,,TABLE,x,
Errors.NoTableFound.NoTableFound,4,Constructor,Errors,NoTableFound,NoTableFound,,,TABLE,x,
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,,BASE ,BASE1,x,
Errors.PinAlreadySet.PinAlreadySet,4,Constructor,Errors,PinAlreadySet,PinAlreadySet,x,BASE ,BASE1,x,Errors.PinAlreadySet.PinAlreadySet is a child of Errors.PinAlreadySet, THEN it also is fprivate of BASE1,  
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,,,EVAL,x,
Errors.ValueAlreadySet.ValueAlreadySet,4,Constructor,Errors,ValueAlreadySet,ValueAlreadySet,,,EVAL,x,
Errors.NoPinFound,2,Class,Errors,NoPinFound,,,BASE ,BASE1,x,
Errors.NoPinFound.NoPinFound,4,Constructor,Errors,NoPinFound,NoPinFound,x,BASE ,BASE1,x,Errors.NoPinFound.NoPinFound is a child of Errors.NoPinFound, THEN it also is fprivate of BASE1,  
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,,BASE ,BASE1,,
GatesApp.Feature,2,Class,GatesApp,Feature,,,BASE ,BASE1,,
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,,,TABLE,,
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,,,CONSTRAINT,,
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,,,EVAL,,
GatesApp.Main,2,Class,GatesApp,Main,,,BASE ,BASE1,,
GatesApp,1,Package,GatesApp,,,,BASE ,BASE1,,
GatesApp.Main.main,4,Method,GatesApp,Main,main,x,BASE ,BASE1,,GatesApp.Main.main is hook because calls element(s) classified in future features,  
GatesApp.Main.aCircuit,4,Method,GatesApp,Main,aCircuit,,BASE ,BASE1,,
GatesApp.Value,2,Class,GatesApp,Value,,,,EVAL,,
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,,,EVAL,,
GatesApp.Value.FALSE,3,Field,GatesApp,Value,FALSE,,,EVAL,,
GatesApp.MainTest,2,Class,GatesApp,MainTest,,,BASE ,BASE1,,
GatesApp.MainTest.MainTest,4,Constructor,GatesApp,MainTest,MainTest,x,BASE ,BASE1,,GatesApp.MainTest.MainTest is hook because calls element(s) classified in future features,  
GatesApp.MainTest.h2Example,4,Method,GatesApp,MainTest,h2Example,x,BASE ,BASE1,,GatesApp.MainTest.h2Example is hook because calls element(s) classified in future features,  
GatesApp.MainTest.aEQb,4,Method,GatesApp,MainTest,aEQb,x,BASE ,BASE1,,GatesApp.MainTest.aEQb is hook because calls element(s) classified in future features,  
GatesApp.MainTest.aNEb,4,Method,GatesApp,MainTest,aNEb,x,BASE ,BASE1,,GatesApp.MainTest.aNEb is hook because calls element(s) classified in future features,  
GatesApp.Value.Value,4,Constructor,GatesApp,Value,Value,,,EVAL,x,
GatesApp.Value.UNKNOWN,3,Field,GatesApp,Value,UNKNOWN,,,EVAL,,
Pins.InputPin,2,Class,Pins,InputPin,,,BASE ,BASE1,,
Pins,1,Package,Pins,,,,BASE ,BASE1,,
Pins.InputPin.name,3,Field,Pins,InputPin,name,,BASE ,BASE1,,
Pins.InputPin.inputOf,3,Field,Pins,InputPin,inputOf,,BASE ,BASE1,x,
Pins.InputPin.wireFrom,3,Field,Pins,InputPin,wireFrom,,BASE ,BASE1,,
Pins.InputPin.InputPin,4,Constructor,Pins,InputPin,InputPin,x,BASE ,BASE1,,Pins.InputPin.InputPin is hook because calls element(s) classified in future features,  
Pins.InputPin.addWire,4,Method,Pins,InputPin,addWire,x,BASE ,BASE1,,Pins.InputPin.addWire is hook because calls element(s) classified in future features,  
Pins.OutputPin,2,Class,Pins,OutputPin,,,BASE ,BASE1,,
Pins.OutputPin.name,3,Field,Pins,OutputPin,name,,,BASE,,
Pins.InputPin.toString,4,Method,Pins,InputPin,toString,x,,BASE,,Pins.InputPin.toString is hook because calls element(s) classified in future features,  
Pins.InputPin.isUsed,4,Method,Pins,InputPin,isUsed,,,CONSTRAINT,x,
Pins.InputPin.nameOfGate,4,Method,Pins,InputPin,nameOfGate,x,,BASE,,Pins.InputPin.nameOfGate is hook because calls element(s) classified in future features,  
Pins.InputPin.getValue,4,Method,Pins,InputPin,getValue,,,EVAL,x,
Pins.OutputPin.value,3,Field,Pins,OutputPin,value,,,EVAL,,
Pins.OutputPin.outputOf,3,Field,Pins,OutputPin,outputOf,,,BASE,,
Pins.OutputPin.wiresFrom,3,Field,Pins,OutputPin,wiresFrom,,,BASE,,
Pins.OutputPin.OutputPin,4,Constructor,Pins,OutputPin,OutputPin,x,,BASE,,Pins.OutputPin.OutputPin is hook because calls element(s) classified in future features,  
Pins.OutputPin.addWire,4,Method,Pins,OutputPin,addWire,x,,BASE,,Pins.OutputPin.addWire is hook because calls element(s) classified in future features,  
Pins.OutputPin.toString,4,Method,Pins,OutputPin,toString,x,,BASE,,Pins.OutputPin.toString is hook because calls element(s) classified in future features,  
Pins.OutputPin.nameOfGate,4,Method,Pins,OutputPin,nameOfGate,,,CONSTRAINT,,
Pins.OutputPin.isUsed,4,Method,Pins,OutputPin,isUsed,,,CONSTRAINT,x,
Pins.OutputPin.getValue,4,Method,Pins,OutputPin,getValue,,,EVAL,x,
RegTest.Utility,2,Class,RegTest,Utility,,,,BASE,x,
RegTest,1,Package,RegTest,,,,,BASE,x,
RegTest.Utility.autopsy,3,Field,RegTest,Utility,autopsy,,,BASE,x,
RegTest.Utility.Utility,4,Constructor,RegTest,Utility,Utility,,,BASE,x,
RegTest.Utility.sortFile,4,Method,RegTest,Utility,sortFile,,,BASE,x,
RegTest.Utility.compareFiles,4,Method,RegTest,Utility,compareFiles,,,BASE,,
RegTest.Utility.originalErr,3,Field,RegTest,Utility,originalErr,,,BASE,x,
RegTest.Utility.originalOut,3,Field,RegTest,Utility,originalOut,,,BASE,x,
RegTest.Utility.outfile,3,Field,RegTest,Utility,outfile,,,BASE,x,
RegTest.Utility.errfile,3,Field,RegTest,Utility,errfile,,,BASE,x,
RegTest.Utility.init,4,Method,RegTest,Utility,init,,,BASE,,
RegTest.Utility.redirectStdOut,4,Method,RegTest,Utility,redirectStdOut,,,BASE,,
RegTest.Utility.redirectStdErr,4,Method,RegTest,Utility,redirectStdErr,,,BASE,,
RegTest.Utility.sortedOut,3,Field,RegTest,Utility,sortedOut,,,BASE,x,
RegTest.Utility.sortedCorrect,3,Field,RegTest,Utility,sortedCorrect,,,BASE,x,
RegTest.Utility.done,4,Method,RegTest,Utility,done,,,BASE,,
RegTest.Utility.validate,4,Method,RegTest,Utility,validate,,,BASE,,
logicGates.Wire,2,Class,logicGates,Wire,,,,BASE,,
logicGates,1,Package,logicGates,,,,,BASE,,
logicGates.Printable,2,Class,logicGates,Printable,,,,BASE,,
logicGates.Wire.print,4,Method,logicGates,Wire,print,x,,BASE,,logicGates.Wire.print is hook because calls element(s) classified in future features,  
logicGates.Printable.print,4,Method,logicGates,Printable,print,,,BASE,,
logicGates.Wire.i,3,Field,logicGates,Wire,i,,,BASE,,
logicGates.Wire.o,3,Field,logicGates,Wire,o,,,BASE,,
logicGates.Wire.Wire,4,Constructor,logicGates,Wire,Wire,,,BASE,,
logicGates.Wire.table,3,Field,logicGates,Wire,table,,,TABLE,,
logicGates.InputPort,2,Class,logicGates,InputPort,,,,BASE,,
logicGates.Gate,2,Class,logicGates,Gate,,,,BASE,,
logicGates.InputPort.InputPort,4,Constructor,logicGates,InputPort,InputPort,,,BASE,,
logicGates.Gate.Gate,4,Constructor,logicGates,Gate,Gate,,,BASE,x,
logicGates.InputPort.getValue,4,Method,logicGates,InputPort,getValue,,,EVAL,,
logicGates.Gate.getValue,4,Method,logicGates,Gate,getValue,,,EVAL,,
logicGates.Gate.print,4,Method,logicGates,Gate,print,x,,BASE,,logicGates.Gate.print is hook because calls element(s) classified in future features,  
logicGates.InputPort.getOutput,4,Method,logicGates,InputPort,getOutput,x,,BASE,,logicGates.InputPort.getOutput is hook because calls element(s) classified in future features,  
logicGates.Gate.getInput,4,Method,logicGates,Gate,getInput,x,,BASE,,logicGates.Gate.getInput is hook because calls element(s) classified in future features,  
logicGates.Gate.getOutput,4,Method,logicGates,Gate,getOutput,x,,BASE,,logicGates.Gate.getOutput is hook because calls element(s) classified in future features,  
logicGates.OutputPort,2,Class,logicGates,OutputPort,,,,BASE,,
logicGates.OutputPort.OutputPort,4,Constructor,logicGates,OutputPort,OutputPort,,,BASE,,
logicGates.OutputPort.getValue,4,Method,logicGates,OutputPort,getValue,,,EVAL,,
logicGates.OutputPort.getInput,4,Method,logicGates,OutputPort,getInput,x,,BASE,,logicGates.OutputPort.getInput is hook because calls element(s) classified in future features,  
logicGates.Wire.resetTable,4,Method,logicGates,Wire,resetTable,,,TABLE,x,
logicGates.Wire.getTable,4,Method,logicGates,Wire,getTable,,,TABLE,x,
logicGates.Wire.isUsed,4,Method,logicGates,Wire,isUsed,,,CONSTRAINT,,
logicGates.Wire.verify,4,Method,logicGates,Wire,verify,,,CONSTRAINT,x,
logicGates.Wire.getValue,4,Method,logicGates,Wire,getValue,,,EVAL,,
logicGates.Or,2,Class,logicGates,Or,,,,BASE,,
logicGates.Or.Or,4,Constructor,logicGates,Or,Or,,,BASE,,
logicGates.Or.getValue,4,Method,logicGates,Or,getValue,,,EVAL,,
logicGates.Or.i1,3,Field,logicGates,Or,i1,,,BASE,,
logicGates.Or.i2,3,Field,logicGates,Or,i2,,,BASE,,
logicGates.Gate.inputs,3,Field,logicGates,Gate,inputs,,,BASE,,
logicGates.Gate.outputs,3,Field,logicGates,Gate,outputs,,,BASE,,
logicGates.Or.table,3,Field,logicGates,Or,table,,,TABLE,,
logicGates.Or.resetTable,4,Method,logicGates,Or,resetTable,,,TABLE,,
logicGates.Or.getTable,4,Method,logicGates,Or,getTable,,,TABLE,,
logicGates.And,2,Class,logicGates,And,,,,BASE,,
logicGates.And.And,4,Constructor,logicGates,And,And,,,BASE,,
logicGates.And.getValue,4,Method,logicGates,And,getValue,,,EVAL,,
logicGates.And.i1,3,Field,logicGates,And,i1,,,BASE,,
logicGates.And.i2,3,Field,logicGates,And,i2,,,BASE,,
logicGates.And.o,3,Field,logicGates,And,o,,,BASE,x,
logicGates.And.table,3,Field,logicGates,And,table,,,TABLE,,
logicGates.And.resetTable,4,Method,logicGates,And,resetTable,,,TABLE,,
logicGates.And.getTable,4,Method,logicGates,And,getTable,,,TABLE,,
logicGates.Gate.name,3,Field,logicGates,Gate,name,,,BASE,,
logicGates.Gate.resetDB,4,Method,logicGates,Gate,resetDB,,,TABLE,,
logicGates.Not,2,Class,logicGates,Not,,,,BASE,,
logicGates.Not.Not,4,Constructor,logicGates,Not,Not,,,BASE,,
logicGates.Not.getValue,4,Method,logicGates,Not,getValue,,,EVAL,,
logicGates.Not.resetTable,4,Method,logicGates,Not,resetTable,,,TABLE,,
logicGates.InputPort.resetTable,4,Method,logicGates,InputPort,resetTable,,,TABLE,,
logicGates.OutputPort.resetTable,4,Method,logicGates,OutputPort,resetTable,,,TABLE,,
logicGates.Gate.printDB,4,Method,logicGates,Gate,printDB,,,TABLE,,
logicGates.Gate.printTable,4,Method,logicGates,Gate,printTable,,,TABLE,,
logicGates.Not.getTable,4,Method,logicGates,Not,getTable,,,TABLE,,
logicGates.InputPort.getTable,4,Method,logicGates,InputPort,getTable,,,TABLE,,
logicGates.OutputPort.getTable,4,Method,logicGates,OutputPort,getTable,,,TABLE,,
logicGates.Gate.extra,4,Method,logicGates,Gate,extra,,,CONSTRAINT,,
logicGates.Gate.allInputsUsed,4,Method,logicGates,Gate,allInputsUsed,,,CONSTRAINT,,
logicGates.Gate.allOutputsUsed,4,Method,logicGates,Gate,allOutputsUsed,,,CONSTRAINT,,
logicGates.Gate.verify,4,Method,logicGates,Gate,verify,,,CONSTRAINT,,
logicGates.OutputPort.table,3,Field,logicGates,OutputPort,table,,,TABLE,,
logicGates.Not.i1,3,Field,logicGates,Not,i1,,,BASE,,
logicGates.Not.table,3,Field,logicGates,Not,table,,,TABLE,,
logicGates.InputPort.table,3,Field,logicGates,InputPort,table,,,TABLE,,
logicGates.InputPort.value,3,Field,logicGates,InputPort,value,,,EVAL,x,
logicGates.InputPort.setValue,4,Method,logicGates,InputPort,setValue,,,EVAL,,
