Identifier,TypeID,Type,Package,Class,Member,Is_inferred?,Parent_features,Feature,Is_fprivate?,Inferences
Errors.NoValueSet,2,Class,Errors,NoValueSet,,,,EVAL,x,
Errors,1,Package,Errors,,,,BASE ,BASE1,,
Errors.NoValueSet.NoValueSet,4,Constructor,Errors,NoValueSet,NoValueSet,,,EVAL,x,
Errors.NoTableFound,2,Class,Errors,NoTableFound,,,,TABLE,x,
Errors.NoTableFound.NoTableFound,4,Constructor,Errors,NoTableFound,NoTableFound,,,TABLE,x,
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,,BASE ,BASE1,,
Errors.PinAlreadySet.PinAlreadySet,4,Constructor,Errors,PinAlreadySet,PinAlreadySet,,BASE ,BASE1,,Errors.PinAlreadySet.PinAlreadySet is hook because calls element(s) classified in future features   Errors.PinAlreadySet.PinAlreadySet is no longer hook called element(s) got reclassified   
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,,,EVAL,x,
Errors.ValueAlreadySet.ValueAlreadySet,4,Constructor,Errors,ValueAlreadySet,ValueAlreadySet,,,EVAL,x,
Errors.NoPinFound,2,Class,Errors,NoPinFound,,,BASE ,BASE1,,
Errors.NoPinFound.NoPinFound,4,Constructor,Errors,NoPinFound,NoPinFound,,BASE ,BASE1,,Errors.NoPinFound.NoPinFound is hook because calls element(s) classified in future features   Errors.NoPinFound.NoPinFound is no longer hook called element(s) got reclassified   
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,,BASE ,BASE1,,
GatesApp.Feature,2,Class,GatesApp,Feature,,,BASE ,BASE1,,
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,,,TABLE,,
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,,,CONSTRAINT,,
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,,,EVAL,,
GatesApp.Main,2,Class,GatesApp,Main,,,BASE ,BASE1,,
GatesApp,1,Package,GatesApp,,,,BASE ,BASE1,,
GatesApp.Main.main,4,Method,GatesApp,Main,main,,BASE ,BASE1,,GatesApp.Main.main is hook because calls element(s) classified in future features   GatesApp.Main.main is no longer hook called element(s) got reclassified   
GatesApp.Main.aCircuit,4,Method,GatesApp,Main,aCircuit,,BASE ,BASE1,,
GatesApp.Value,2,Class,GatesApp,Value,,,,EVAL,,
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,,,EVAL,,
GatesApp.Value.FALSE,3,Field,GatesApp,Value,FALSE,,,EVAL,,
GatesApp.MainTest,2,Class,GatesApp,MainTest,,,BASE ,BASE1,,
GatesApp.MainTest.MainTest,4,Constructor,GatesApp,MainTest,MainTest,,BASE ,BASE1,,GatesApp.MainTest.MainTest is hook because calls element(s) classified in future features   GatesApp.MainTest.MainTest is no longer hook called element(s) got reclassified   
GatesApp.MainTest.h2Example,4,Method,GatesApp,MainTest,h2Example,,BASE ,BASE1,,
GatesApp.MainTest.aEQb,4,Method,GatesApp,MainTest,aEQb,,BASE ,BASE1,,
GatesApp.MainTest.aNEb,4,Method,GatesApp,MainTest,aNEb,,BASE ,BASE1,,
GatesApp.Value.Value,4,Constructor,GatesApp,Value,Value,,,EVAL,x,
GatesApp.Value.UNKNOWN,3,Field,GatesApp,Value,UNKNOWN,,,EVAL,,
Pins.InputPin,2,Class,Pins,InputPin,,,BASE ,BASE1,,
Pins,1,Package,Pins,,,,BASE ,BASE1,,
Pins.InputPin.name,3,Field,Pins,InputPin,name,,BASE ,BASE1,,
Pins.InputPin.inputOf,3,Field,Pins,InputPin,inputOf,,BASE ,BASE1,,
Pins.InputPin.wireFrom,3,Field,Pins,InputPin,wireFrom,,BASE ,BASE1,,
Pins.InputPin.InputPin,4,Constructor,Pins,InputPin,InputPin,,BASE ,BASE1,,Pins.InputPin.InputPin is hook because calls element(s) classified in future features   Pins.InputPin.InputPin is no longer hook called element(s) got reclassified   
Pins.InputPin.addWire,4,Method,Pins,InputPin,addWire,,BASE ,BASE1,,Pins.InputPin.addWire is hook because calls element(s) classified in future features   Pins.InputPin.addWire is no longer hook called element(s) got reclassified   
Pins.OutputPin,2,Class,Pins,OutputPin,,,BASE ,BASE1,,
Pins.OutputPin.name,3,Field,Pins,OutputPin,name,x,BASE ,BASE1,,Pins.OutputPin.name belongs to BASE1 because of its bounds.   
Pins.InputPin.toString,4,Method,Pins,InputPin,toString,,BASE ,BASE1,,Pins.InputPin.toString is hook because calls element(s) classified in future features   Pins.InputPin.toString is no longer hook called element(s) got reclassified   
Pins.InputPin.isUsed,4,Method,Pins,InputPin,isUsed,,,CONSTRAINT,x,
Pins.InputPin.nameOfGate,4,Method,Pins,InputPin,nameOfGate,,BASE ,BASE1,,Pins.InputPin.nameOfGate is hook because calls element(s) classified in future features   Pins.InputPin.nameOfGate is no longer hook called element(s) got reclassified   
Pins.InputPin.getValue,4,Method,Pins,InputPin,getValue,,,EVAL,x,
Pins.OutputPin.value,3,Field,Pins,OutputPin,value,,,EVAL,,
Pins.OutputPin.outputOf,3,Field,Pins,OutputPin,outputOf,,BASE ,BASE1,,
Pins.OutputPin.wiresFrom,3,Field,Pins,OutputPin,wiresFrom,,BASE ,BASE1,,
Pins.OutputPin.OutputPin,4,Constructor,Pins,OutputPin,OutputPin,,BASE ,BASE1,,
Pins.OutputPin.addWire,4,Method,Pins,OutputPin,addWire,,BASE ,BASE1,,Pins.OutputPin.addWire is hook because calls element(s) classified in future features   Pins.OutputPin.addWire is no longer hook called element(s) got reclassified   
Pins.OutputPin.toString,4,Method,Pins,OutputPin,toString,,BASE ,BASE1,,Pins.OutputPin.toString is hook because calls element(s) classified in future features   Pins.OutputPin.toString is no longer hook called element(s) got reclassified   
Pins.OutputPin.nameOfGate,4,Method,Pins,OutputPin,nameOfGate,,,CONSTRAINT,,
Pins.OutputPin.isUsed,4,Method,Pins,OutputPin,isUsed,,,CONSTRAINT,x,
Pins.OutputPin.getValue,4,Method,Pins,OutputPin,getValue,,,EVAL,x,
RegTest.Utility,2,Class,RegTest,Utility,,,BASE ,BASE1,x,
RegTest,1,Package,RegTest,,,,BASE ,BASE1,x,
RegTest.Utility.autopsy,3,Field,RegTest,Utility,autopsy,x,BASE ,BASE1,x,RegTest.Utility.autopsy is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.Utility,4,Constructor,RegTest,Utility,Utility,x,BASE ,BASE1,x,RegTest.Utility.Utility is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.sortFile,4,Method,RegTest,Utility,sortFile,x,BASE ,BASE1,x,RegTest.Utility.sortFile is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.compareFiles,4,Method,RegTest,Utility,compareFiles,x,BASE ,BASE1,,RegTest.Utility.compareFiles calls fprivate RegTest.Utility.autopsy THEN it also belongs to BASE1   
RegTest.Utility.originalErr,3,Field,RegTest,Utility,originalErr,x,BASE ,BASE1,x,RegTest.Utility.originalErr is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.originalOut,3,Field,RegTest,Utility,originalOut,x,BASE ,BASE1,x,RegTest.Utility.originalOut is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.outfile,3,Field,RegTest,Utility,outfile,x,BASE ,BASE1,x,RegTest.Utility.outfile is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.errfile,3,Field,RegTest,Utility,errfile,x,BASE ,BASE1,x,RegTest.Utility.errfile is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.init,4,Method,RegTest,Utility,init,x,BASE ,BASE1,,RegTest.Utility.init calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE1   
RegTest.Utility.redirectStdOut,4,Method,RegTest,Utility,redirectStdOut,x,BASE ,BASE1,,RegTest.Utility.redirectStdOut calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE1   
RegTest.Utility.redirectStdErr,4,Method,RegTest,Utility,redirectStdErr,x,BASE ,BASE1,,RegTest.Utility.redirectStdErr calls fprivate RegTest.Utility.originalErr THEN it also belongs to BASE1   
RegTest.Utility.sortedOut,3,Field,RegTest,Utility,sortedOut,x,BASE ,BASE1,x,RegTest.Utility.sortedOut is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.sortedCorrect,3,Field,RegTest,Utility,sortedCorrect,x,BASE ,BASE1,x,RegTest.Utility.sortedCorrect is a child of RegTest.Utility THEN it also is fprivate of BASE1   
RegTest.Utility.done,4,Method,RegTest,Utility,done,x,BASE ,BASE1,,RegTest.Utility.done calls fprivate RegTest.Utility.originalOut THEN it also belongs to BASE1   
RegTest.Utility.validate,4,Method,RegTest,Utility,validate,x,BASE ,BASE1,x,RegTest.Utility.validate is hook because calls element(s) classified in future features   RegTest.Utility.validate is a child of RegTest.Utility THEN it also is fprivate of BASE1   RegTest.Utility.validate is no longer hook called element(s) got reclassified   
logicGates.Wire,2,Class,logicGates,Wire,,,BASE ,BASE1,,
logicGates,1,Package,logicGates,,,,BASE ,BASE1,,
logicGates.Printable,2,Class,logicGates,Printable,,,BASE ,PRINTABLE,,
logicGates.Wire.print,4,Method,logicGates,Wire,print,,BASE ,PRINTABLE,,logicGates.Wire.print is hook because calls element(s) classified in future features   logicGates.Wire.print is no longer hook called element(s) got reclassified   
logicGates.Printable.print,4,Method,logicGates,Printable,print,x,BASE ,PRINTABLE,,logicGates.Printable.print is hook because calls element(s) classified in future features   logicGates.Printable.print belongs to PRINTABLE because of its bounds.   
logicGates.Wire.i,3,Field,logicGates,Wire,i,,BASE ,BASE1,,
logicGates.Wire.o,3,Field,logicGates,Wire,o,,BASE ,BASE1,,
logicGates.Wire.Wire,4,Constructor,logicGates,Wire,Wire,,BASE ,BASE1,,
logicGates.Wire.table,3,Field,logicGates,Wire,table,,,TABLE,,
logicGates.InputPort,2,Class,logicGates,InputPort,,,BASE ,BASE1,,
logicGates.Gate,2,Class,logicGates,Gate,,,BASE ,BASE1,,
logicGates.InputPort.InputPort,4,Constructor,logicGates,InputPort,InputPort,,BASE ,BASE1,,
logicGates.Gate.Gate,4,Constructor,logicGates,Gate,Gate,,BASE ,BASE1,,logicGates.Gate.Gate is hook because calls element(s) classified in future features   logicGates.Gate.Gate is no longer hook called element(s) got reclassified   
logicGates.InputPort.getValue,4,Method,logicGates,InputPort,getValue,,,EVAL,,
logicGates.Gate.getValue,4,Method,logicGates,Gate,getValue,,,EVAL,,
logicGates.Gate.print,4,Method,logicGates,Gate,print,,BASE ,PRINTABLE,,logicGates.Gate.print is hook because calls element(s) classified in future features   logicGates.Gate.print is no longer hook called element(s) got reclassified   
logicGates.InputPort.getOutput,4,Method,logicGates,InputPort,getOutput,,BASE ,BASE1,,logicGates.InputPort.getOutput is hook because calls element(s) classified in future features   logicGates.InputPort.getOutput is no longer hook called element(s) got reclassified   
logicGates.Gate.getInput,4,Method,logicGates,Gate,getInput,,BASE ,BASE1,,logicGates.Gate.getInput is hook because calls element(s) classified in future features   logicGates.Gate.getInput is no longer hook called element(s) got reclassified   
logicGates.Gate.getOutput,4,Method,logicGates,Gate,getOutput,,BASE ,BASE1,,logicGates.Gate.getOutput is hook because calls element(s) classified in future features   logicGates.Gate.getOutput is no longer hook called element(s) got reclassified   
logicGates.OutputPort,2,Class,logicGates,OutputPort,,,BASE ,BASE1,,
logicGates.OutputPort.OutputPort,4,Constructor,logicGates,OutputPort,OutputPort,,BASE ,BASE1,,
logicGates.OutputPort.getValue,4,Method,logicGates,OutputPort,getValue,,,EVAL,,
logicGates.OutputPort.getInput,4,Method,logicGates,OutputPort,getInput,,BASE ,BASE1,,logicGates.OutputPort.getInput is hook because calls element(s) classified in future features   logicGates.OutputPort.getInput is no longer hook called element(s) got reclassified   
logicGates.Wire.resetTable,4,Method,logicGates,Wire,resetTable,,,TABLE,x,
logicGates.Wire.getTable,4,Method,logicGates,Wire,getTable,,,TABLE,x,
logicGates.Wire.isUsed,4,Method,logicGates,Wire,isUsed,,,CONSTRAINT,,
logicGates.Wire.verify,4,Method,logicGates,Wire,verify,,,CONSTRAINT,x,
logicGates.Wire.getValue,4,Method,logicGates,Wire,getValue,,,EVAL,,
logicGates.Or,2,Class,logicGates,Or,,,BASE ,BASE1,,
logicGates.Or.Or,4,Constructor,logicGates,Or,Or,,BASE ,BASE1,,
logicGates.Or.getValue,4,Method,logicGates,Or,getValue,,,EVAL,,
logicGates.Or.i1,3,Field,logicGates,Or,i1,x,BASE ,BASE1,,logicGates.Or.i1 belongs to BASE1 because of its bounds.   
logicGates.Or.i2,3,Field,logicGates,Or,i2,x,BASE ,BASE1,,logicGates.Or.i2 belongs to BASE1 because of its bounds.   
logicGates.Gate.inputs,3,Field,logicGates,Gate,inputs,x,BASE ,BASE1,,logicGates.Gate.inputs belongs to BASE1 because of its bounds.   
logicGates.Gate.outputs,3,Field,logicGates,Gate,outputs,x,BASE ,BASE1,,logicGates.Gate.outputs belongs to BASE1 because of its bounds.   
logicGates.Or.table,3,Field,logicGates,Or,table,,,TABLE,,
logicGates.Or.resetTable,4,Method,logicGates,Or,resetTable,,,TABLE,,
