Word,Count
*,35
the,16
,14
this,9
editor,5
in,5
|,5
Tools,5
and,5
open,5
To,5
Templates,5
template,5
\template,\,5
choose,5
change,5
method,4
@author,4
is,4
of,4
form,4
new,3
dsb,3
GEN-LAST:event_MinusActionPerformed,2
Do,2
within,2
This,2
calcGui,2
End,2
constructor,2
called,2
modify//GEN-BEGIN:variables,2
declaration,2
</editor-fold>//GEN-END:initComponents,2
code,2
from,2
Variables,2
Creates,2
always,2
GEN-FIRST:event_DivActionPerformed,2
GEN-LAST:event_DivActionPerformed,2
modify,2
GEN-LAST:event_PlusActionPerformed,2
variables,2
regenerated,2
content,2
initialize,2
GEN-FIRST:event_ClearActionPerformed,2
GEN-LAST:event_ClearActionPerformed,2
declaration//GEN-END:variables,2
GEN-LAST:event_TimesActionPerformed,2
The,2
GEN-FIRST:event_PlusActionPerformed,2
GEN-FIRST:event_TimesActionPerformed,2
Editor,2
NOT,2
-,2
GEN-LAST:event_EnterActionPerformed,2
not,2
WARNING:,2
GEN-FIRST:event_EnterActionPerformed,2
Form,2
by,2
to,2
do,2
GEN-FIRST:event_MinusActionPerformed,2
PM,1
\BI.Gui("\BICalc"\).display();\,1
Oct,1
Don,1
\20,\,1
java.math.*;,1
Created,1
on,1
2:04:45,1
calcGui.java,1
import,1
\2009,\,1
