Word,Count
*,18
the,8
,7
this,4
and,3
is,2
|,2
HERE,2
Tools,2
MSP,2
open,2
To,2
in,2
new,2
template,2
\template,\,2
-------------------,2
method,2
choose,2
change,2
Templates,2
editor,2
of,2
form,2
dsb,2
@author,2
Do,1
Oct,1
Created,1
within,1
2:04:45,1
on,1
End,1
constructor,1
called,1
modify//GEN-BEGIN:variables,1
declaration,1
</editor-fold>//GEN-END:initComponents,1
code,1
rest,1
Variables,1
Creates,1
GEN-LAST:event_MinusActionPerformed,1
always,1
2,1
GEN-LAST:event_DivActionPerformed,1
modify,1
GEN-LAST:event_PlusActionPerformed,1
variables,1
methods,1
java.math.*;,1
regenerated,1
GEN-FIRST:event_ClearActionPerformed,1
initialize,1
GEN-LAST:event_ClearActionPerformed,1
:,1
START,1
\2009,\,1
The,1
GEN-FIRST:event_PlusActionPerformed,1
declaration//GEN-END:variables,1
PM,1
become,1
NOT,1
-,1
GEN-LAST:event_EnterActionPerformed,1
public,1
not,1
WARNING:,1
GEN-FIRST:event_EnterActionPerformed,1
Form,1
END,1
by,1
to,1
do,1
GEN-FIRST:event_MinusActionPerformed,1
Editor,1
GEN-FIRST:event_TimesActionPerformed,1
GEN-LAST:event_TimesActionPerformed,1
\20,\,1
content,1
from,1
calcGui,1
This,1
calcGui.java,1
import,1
GEN-FIRST:event_DivActionPerformed,1
