Word,Count
*,15
the,8
,6
this,4
and,3
To,2
HERE,2
Tools,2
|,2
open,2
is,2
MSP,2
in,2
new,2
template,2
-------------------,2
method,2
\template,\,2
choose,2
change,2
editor,2
Templates,2
of,2
form,2
@author,2
Do,1
within,1
End,1
constructor,1
called,1
modify//GEN-BEGIN:variables,1
declaration,1
</editor-fold>//GEN-END:initComponents,1
code,1
dsb,1
Variables,1
rest,1
GEN-LAST:event_MinusActionPerformed,1
always,1
2,1
GEN-LAST:event_DivActionPerformed,1
modify,1
Creates,1
variables,1
GEN-LAST:event_PlusActionPerformed,1
methods,1
GEN-FIRST:event_ClearActionPerformed,1
regenerated,1
initialize,1
:,1
START,1
The,1
GEN-FIRST:event_PlusActionPerformed,1
GEN-LAST:event_ClearActionPerformed,1
declaration//GEN-END:variables,1
become,1
NOT,1
GEN-LAST:event_EnterActionPerformed,1
public,1
not,1
-,1
WARNING:,1
Form,1
END,1
by,1
to,1
do,1
GEN-FIRST:event_MinusActionPerformed,1
GEN-FIRST:event_EnterActionPerformed,1
GEN-FIRST:event_TimesActionPerformed,1
GEN-LAST:event_TimesActionPerformed,1
Don,1
content,1
from,1
Editor,1
This,1
calcGui,1
GEN-FIRST:event_DivActionPerformed,1
