File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Add.java,31,17,10,3,4,0,10,49,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\AndroidPlatform.java,271,171,116,29,45,0,55,350,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CalculatorGUISuccinct.java,181,88,63,6,27,0,66,316,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CalculatorGUIVerbose.java,357,197,142,15,57,0,103,564,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CommandLinePlatform.java,106,47,33,6,15,0,44,203,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CommandMenu.java,9,4,3,0,1,0,4,19,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\ComponentNode.java,40,17,10,2,5,0,18,126,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeAddNode.java,30,13,8,1,4,0,13,69,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeBinaryNode.java,30,15,10,1,6,0,9,44,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeDivideNode.java,30,13,8,1,4,0,13,69,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeMultiplyNode.java,30,13,8,1,4,0,13,69,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeNegateNode.java,29,12,8,1,4,0,13,71,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeSubtractNode.java,30,13,8,1,4,0,13,69,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\CompositeUnaryNode.java,27,11,8,1,6,0,10,53,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\Divide.java,31,17,10,3,4,0,10,49,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\EvalCommand.java,55,35,18,0,5,0,15,72,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\EvaluationVisitor.java,87,53,32,9,12,0,22,126,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\ExprCommand.java,54,36,18,0,5,0,13,61,0,0
E:\UTAustin\BttFworkspace\ExpressionTree\src\com\example\expressiontree\ExpressionTree.java,78,35,22,6,14,0,29,151,0,0
