Word,Count
*,478
the,385
to,184
,175
a,141
//,139
of,131
and,77
in,64
image,55
that,52
list,49
is,43
method,42
for,40
an,39
images,35
from,34
filter,32
each,31
return,31
URLs,30
with,29
URL,29
all,28
be,28
->,27
This,26
@a,25
Use,24
input,24
stream,24
into,23
results,23
test,22
this,21
download,21
The,21
=,20
Returns,19
Image,19
class,19
as,18
catch,18
which,18
Create,18
Java,17
file,17
new,17
thread,17
store,17
{,16
filters,16
List,16
hook,16
pool,16
block,16
Auto-generated,15
name,15
TODO,15
concurrently,15
blocking,15
it,15
A,14
data,14
implementation,14
when,13
by,13
futures,13
result,13
Convert,13
use,12
completable,12
map(),12
common,12
processing,12
used,12
filtered,12
output,11
.stream(),11
pattern,11
can,11
Return,11
url,11
Constructor,11
are,11
source,10
apply,10
will,10
CompletableFuture,10
initializes,10
if,10
role,9
array,9
\process,\,9
cached,9
timing,9
has,9
through,9
},9
run,9
8,9
on,9
\download,\,9
default,9
object,9
+,9
already,9
ImageStreamGang,9
Filter,8
operations,8
its,8
stored,8
track,8
local,8
Iterate,8
process,8
parameter,8
appropriate,8
Get,8
tasks,7
via,7
containing,7
asynchronously,7
superclass,7
@throws,7
.collect(toList());,7
whose,7
constructor,7
them,7
Method,7
@return,7
call,7
returns,7
directory,7
Print,7
Asynchronously,7
Store,7
Template,7
supplier,7
false,6
sequentially,6
completes,6
cycle,6
time,6
or,6
whether,6
mFilters,6
expression,6
byte,6
\"\\,6
downloaded,6
should,6
type,6
CompletableFutures,6
Keeps,6
fork/join,6
strategy,6
lists,6
map,6
create,6
complete,6
one,6
FilterDecoratorWithImage,6
else,6
true,6
An,6
future,5
next,5
\Class"\\,5
abstract,5
executed,5
was,5
strategies,5
objects,5
so,5
\i.e.,\,5
values,5
filter(),5
template,5
done,5
count,5
Factory,5
also,5
only,5
\that,\,5
after,5
entry,5
associated,5
sequential,5
futureList,5
Constructs,5
applied,5
how,5
grayscale,5
given,5
runs,5
been,5
Decorator,5
must,5
private,5
customizes,5
\"\Concrete\,5
supplied,4
imageEntity,4
argument,4
\normally,\,4
URL),4
join(),4
\(i.e.,\,4
CompletionStage,4
\locally,\,4
members,4
methods,4
out,4
Terminate,4
getInput(),4
completed,4
tag,4
non-cached,4
collect,4
singleton,4
lambda,4
Invoke,4
Initialize,4
Construct,4
\makeFilterDecoratorWithImage(filter,\,4
wait,4
applyFilter(),4
stage,4
tree,4
.map(filter,4
size,4
utility,4
.filter(StreamsUtils.not(this::urlCached)),4
transform,4
that's,4
subclass,4
enables,4
Set,4
msecs,4
remote,4
string,4
};,4
define,4
