Word,Count
*,597
the,483
,187
to,172
of,123
a,115
and,80
that,68
in,68
for,55
method,48
is,42
an,41
from,38
@a,35
filter,32
The,31
image,30
with,28
URLs,28
which,26
list,26
URL,26
as,25
be,24
this,24
input,24
new,22
by,21
data,20
pattern,20
all,20
@brief,20
images,20
@class,20
it,19
This,19
List,18
tasks,17
into,17
are,17
if,17
hook,17
given,17
will,16
each,16
return,16
task,15
ImageEntity,15
downloaded,15
Returns,14
Android,14
name,14
download,14
directory,14
Image,14
results,14
=,14
lists,14
processing,13
singleton,13
used,13
role,13
object,13
result,13
on,13
ImageTaskGang,13
file,12
GridView,12
appropriate,12
Return,12
Java,11
or,11
filtered,11
Create,11
class,11
Factory,11
Set,11
source,10
default,10
completion,10
button,10
Constructor,10
cycle,10
Filter,10
stored,10
Method,10
A,10
grayscale,10
gang,10
byte,10
barrier,9
so,9
Hook,9
creates,9
user,9
array,9
process,9
one,8
member,8
its,8
can,8
done,8
imageEntity,8
at,8
Thread,8
use,8
filters,8
that's,8
concurrently,8
called,8
PlatformStrategy,8
platform-independent,7
output,7
storing,7
stores,7
number,7
applied,7
returns,7
when,7
width,7
application,7
values,7
via,7
over,7
also,7
\"\Concrete\,7
plays,7
console,7
been,7
Creates,7
view,6
run,6
wait,6
where,6
exit,6
TaskGang,6
Store,6
apply,6
parameter,6
Executor,6
main,6
Template,6
},6
next,6
An,6
{,6
was,6
instance,6
iteration,6
not,5
original,5
Decorator,5
debugging,5
context,5
Check,5
\processing,\,5
BufferedImage,5
ExecutorCompletionService,5
PlatformStrategyAndroid,5
methods,5
other,5
using,5
@@,5
Bitmap,5
subclass,5
background,5
implementation,5
//,5
Constructs,5
constructor,5
current,5
Initialize,5
they,5
\Class"\\,5
bitmap,5
Add,5
complete,5
has,5
queue,5
buttons,5
bitmaps,4
more,4
runtime,4
load,4
pixel,4
common,4
names,4
track,4
ResultsActivity,4
whose,4
layout,4
before,4
after,4
members,4
whether,4
true,4
applyFilter(),4
Iterator,4
abstract,4
height,4
