File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\BitmapImage.java,102,49,28,5,15,0,38,150,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\BufferedImage.java,38,7,4,0,5,0,26,84,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\Filter.java,68,23,17,2,8,0,37,193,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\FilterDecorator.java,42,13,9,1,5,0,24,125,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\GrayScaleFilter.java,39,11,7,1,4,0,24,124,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\Image.java,12,3,2,0,2,0,7,28,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\ImageEntity.java,146,57,39,6,22,0,67,296,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\ImageTaskGang.java,332,141,91,17,43,1,148,908,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\MainActivity.java,317,168,100,14,38,0,111,612,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\MainConsole.java,84,43,24,0,12,0,29,167,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\NullFilter.java,36,11,7,1,4,0,21,106,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\Options.java,121,57,40,12,17,0,47,180,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\OutputFilterDecorator.java,69,30,18,2,8,0,31,208,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\PlatformStrategy.java,131,59,36,8,17,4,55,268,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\PlatformStrategyAndroid.java,192,108,65,18,27,0,57,300,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\PlatformStrategyConsole.java,210,85,57,13,19,0,106,396,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\PlatformStrategyFactory.java,90,36,20,5,8,0,46,234,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\ResultsActivity.java,251,120,86,8,35,0,96,447,0,0
E:\UTAustin\BttFworkspace\ImageTaskGangApplication\src\example\imagetaskgang\TaskGang.java,177,61,43,9,26,0,90,466,0,0
