File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\OneShotExecutorCompletionService.java,112,46,28,5,13,0,53,292,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\OneShotExecutorService.java,222,101,64,7,28,0,93,497,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\OneShotExecutorServiceFuture.java,113,50,31,5,14,0,49,268,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\OneShotThreadPerTask.java,94,45,28,5,10,0,39,220,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\Result.java,22,7,5,0,2,0,13,42,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\SearchResults.java,105,50,28,4,14,0,41,141,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\SearchTaskGangCommon.java,112,52,32,6,13,0,47,247,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\TaskGang.java,177,61,42,9,23,0,93,470,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\TaskGangTest.java,90,48,24,8,10,0,32,147,0,0
E:\UTAustin\BttFworkspace\SearchTaskGang\src\searchtaskgang\TestsToRun.java,11,7,2,0,1,0,3,8,0,0
