Word,Count
*,254
the,170
to,88
,81
a,66
of,58
for,43
in,41
that,38
input,28
all,27
method,27
results,26
search,26
List,24
Thread,24
task,23
is,23
The,19
and,19
pool,18
tasks,17
each,17
background,17
concurrently,16
processing,15
as,14
by,14
which,13
word,13
an,13
Hook,12
process,12
TaskGang,12
will,11
exit,11
words,11
be,11
if,10
Create,10
cycle,10
Threads,10
Executor,10
@brief,9
data,9
this,9
@class,9
gang,9
inputData,8
true,8
Strings,8
used,8
Futures,8
SearchResults,8
with,8
This,8
via,8
superclass,8
barrier,8
framework,8
found,7
wait,7
@code,7
Process,6
String,6
ExecutorService,6
Future,6
find,6
array,6
through,6
from,6
done,6
Iterate,6
queue,6
Constructor,5
separate,5
it,5
worker,5
one-shot,5
initializes,5
concurrency,5
we're,5
model,5
until,5
called,5
are,5
SearchTaskGangCommon,5
call,5
can,5
Returns,5
Initiate,5
concurrent,4
use,4
return,4
shutdown,4
was,4
constructor,4
members,4
Pass,4
uses,4
per,4
so,4
Customizes,4
runs,4
run,4
next,4
creates,4
when,4
Factory,4
block,4
created,4
before,4
fixed-size,4
output,4
result,4
item,4
Get,4
work,4
continuing,3
subclasses,3
time,3
Invoke,3
or,3
Result,3
returns,3
that's,3
ready,3
run),3
hook,3
been,3
Note,3
Initialize,3
false,3
new,3
Runnable,3
stop,3
(which,3
BlockingQueue,3
else,3
\well,\,3
goes,3
queued,3
searched,3
Set,3
searches,3
index,3
Callable,3
collection,3
print,3
one,3
list,3
unit,3
Each,3
performs,3
match,3
ExecutorService's,3
submitted,2
try,2
Return,2
waits,2
spawned,2
class,2
various,2
grow,2
Executor's,2
Enqueue,2
\"\task\,2
matched,2
A,2
cached,2
dynamically,2
completion,2
test,2
Wait,2
finished,2
submit/run,2
long,2
Add,2
customize,2
\Threads,\,2
contain,2
processed,2
complete,2
they,2
should,2
were,2
ExecutorCompletionService,2
aren't,2
type,2
call(),2
searching,2
get,2
element,2
also,2
occurrences,2
\model,\,2
No-op,2
variable-sized,2
how,2
debugging,2
just,2
\word"\\,2
get(),2
any),2
stores,2
added,2
Iterator,2
their,2
has,2
execution,2
into,2
containing,2
processInput(),2
store,2
Holds,2
provided,2
(if,2
Print,2
Runs,2
tests,2
current,2
out,2
up,1
mechanisms,1
desired,1
customizes,1
scrambled,1
Tasks,1
Downcast,1
TaskGangTest,1
problem,1
\occurred,\,1
Increment,1
managed,1
SearchResult,1
queueResults(),1
processes,1
It's,1
point,1
overridden,1
makeInputList(),1
object,1
\invokeAll(),\,1
Executor.submit(),1
*and*,1
form,1
there,1
\parallel"\\,1
factory,1
\concurrently,\,1
hold,1
Create/run,1
times,1
only,1
later,1
program,1
default,1
(at,1
makes,1
off,1
Number,1
Asynchronous,1
cycle's,1
currently,1
enable,1
values,1
Processes,1
create,1
down,1
custom,1
conjunction,1
adapter,1
tripped,1
OneShotExecutorService,1
Defines,1
entry,1
OneShotExecutorServiceFuture,1
Template,1
pass,1
index),1
By,1
continue,1
shutdown(),1
threads,1
If,1
running,1
SearchTaskGang,1
(blocking,1
looping,1
Keep,1
initiates,1
indices,1
then,1
track,1
lots,1
removed,1
opposed,1
fields,1
another,1
We,1
means,1
mWord,1
calling,1
Start,1
\default,\,1
Check,1
got,1
await,1
designated,1
Used,1
isn't,1
throws,1
appears,1
code,1
invocation,1
no,1
Only,1
immediate,1
iteration,1
Tell,1
may,1
one-shop,1
runnable,1
\false,\,1
meta-data,1
spawning,1
them,1
string,1
contains,1
Executes,1
showcases,1
location,1
It,1
yet,1
Array,1
\inputSize,\,1
\processed,\,1
add,1
since,1
submit(),1
An,1
node,1
Convert,1
instances,1
immediately,1
Thread.join(),1
E,1
exits,1
Worker,1
shuts,1
starts,1
Uses,1
Enumerate,1
SearchData,1
initialize,1
main,1
synchronizer,1
other,1
associated,1
actually,1
Store,1
Allow,1
Can,1
have,1
\"\gang"\\,1
\"\embarrassingly\,1
generated,1
Connect,1
Controls,1
Synchronous,1
using,1
Loop,1
cyclic,1
unless,1
not,1
helper,1
perform,1
worth,1
we've,1
see,1
IndexOutOfBoundsException,1
Call,1
multiple,1
submit,1
defers,1
initial,1
initialized,1
items,1
initializations,1
returned,1
Success,1
diagnosticsEnabled,1
generic,1
returning,1
Simple,1
Executor),1
synchronous,1
Keeps,1
\"\one-shot"\\,1
&,1
Search,1
invokeAll(),1
Extract,1
graceful,1
necessary),1
account,1
implementations,1
cycles,1
super,1
where,1
CompletionService,1
drops,1
Take,1
empty,1
joined,1
appropriate,1
being,1
releases,1
count,1
holds,1
different,1
Indicate,1
result.,1
objects,1
Submit,1
awaitTermination(),1
SearchResult.print(),1
Preallocate,1
\SearchResults,\,1
0,1
CompletionService's,1
behavior,1
implementation,1
\ExecutorService,\,1
back,1
initiate,1
elements,1
tasks/threads,1
starting,1
\CountDownLatch,\,1
subclass,1
more,1
factors,1
eacd,1
causes,1
methods,1
creates/executes,1
Decrements,1
application,1
OneShotExecutorCompletionService,1
synchronized,1
Queue,1
ExecutorCompletionService's,1
successfully,1
implement,1
Java,1
OneShotThreadPerTask,1
existing,1
put,1
many,1
about,1
there's,1
blocks,1
Use,1
units,1
LinkedBlockingQueue,1
(as,1
Runnables,1
Id,1
synchronization,1
passed,1
set,1
Need,1
initiateTaskGang(),1
active,1
below,1
computations,1
number,1
awaitTasksDone(),1
it's,1
execute,1
common,1
thread,1
driver,1
indicates,1
