Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
bali2jak.Statements,2,Class,bali2jak,Statements,,balibali,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak,1,Package,bali2jak,,,kernel,FALSE,FALSE,,TRUE,FALSE,,Package is always kernel,
bali2jak.AstList,2,Class,bali2jak,AstList,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by Bali2JakSol,public
bali2jak.AstVisitor,2,Class,bali2jak,AstVisitor,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by Bali2JakSol,public
bali2jak.Dispatcher,2,Class,bali2jak,Dispatcher,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by Bali2JakSol,public
bali2jak.AstVisitor.visit(AstList list),4,Method,bali2jak,AstVisitor,visit(AstList list),kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.AstNode,2,Class,bali2jak,AstNode,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by Bali2JakSol,public
bali2jak.AstNode.arg,3,Field,bali2jak,AstNode,arg,kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.AstNode.right,3,Field,bali2jak,AstNode,right,kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.Dispatcher.dispatch(Object object),4,Method,bali2jak,Dispatcher,dispatch(Object object),kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.AstVisitor.visit(AstNode node),4,Method,bali2jak,AstVisitor,visit(AstNode node),kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.AstVisitor.visit(AstOptNode node),4,Method,bali2jak,AstVisitor,visit(AstOptNode node),kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.AstOptNode,2,Class,bali2jak,AstOptNode,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer,2,Class,bali2jak,CodeBuffer,,codegen,FALSE,FALSE,,FALSE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer.append(char character),4,Method,bali2jak,CodeBuffer,append(char character),codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer.append(String string),4,Method,bali2jak,CodeBuffer,append(String string),codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer.append(List tokensInPhrase),4,Method,bali2jak,CodeBuffer,append(List tokensInPhrase),codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer.SPACE,3,Field,bali2jak,CodeBuffer,SPACE,codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,private
bali2jak.CodeBuffer.LINE_LIMIT,3,Field,bali2jak,CodeBuffer,LINE_LIMIT,codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,public
bali2jak.CodeBuffer.buffer,3,Field,bali2jak,CodeBuffer,buffer,codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,private
bali2jak.CodeBuffer.indentation,3,Field,bali2jak,CodeBuffer,indentation,codegen,FALSE,FALSE,,TRUE,FALSE,,set by Bali2JakSol,private
