Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
guidsl.GroupButtons,2,Class,guidsl,GroupButtons,,guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl,1,Package,guidsl,,,kernel,FALSE,FALSE,,TRUE,FALSE,,Package is always kernel,
guidsl.GroupButtons.buttons,3,Field,guidsl,GroupButtons,buttons,guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,protected
guidsl.GroupButtons.min,3,Field,guidsl,GroupButtons,min,guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.GroupButtons.max,3,Field,guidsl,GroupButtons,max,guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.GroupButtons.GroupButtons(int mn; int mx),5,Constructor,guidsl,GroupButtons,GroupButtons(int mn; int mx),guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.GroupButtons.addToGroup(AbstractButton jb),4,Method,guidsl,GroupButtons,addToGroup(AbstractButton jb),guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.GroupButtons.actionPerformed(ActionEvent e),4,Method,guidsl,GroupButtons,actionPerformed(ActionEvent e),guigs,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.implies,2,Class,guidsl,implies,,bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node,2,Class,guidsl,node,,bexpr,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public
guidsl.implies.cnf(),4,Method,guidsl,implies,cnf(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node.cnf(),4,Method,guidsl,node,cnf(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.implies.cnf2String(),4,Method,guidsl,implies,cnf2String(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node.cnf2String(),4,Method,guidsl,node,cnf2String(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.implies.klone(),4,Method,guidsl,implies,klone(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node.klone(),4,Method,guidsl,node,klone(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.implies.simplify(),4,Method,guidsl,implies,simplify(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node.simplify(),4,Method,guidsl,node,simplify(),bexpr,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
