Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.TransitionDecl,2,Class,mixin,TransitionDecl,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin,1,Package,mixin,,,kernel,FALSE,FALSE,,TRUE,FALSE,,Package is always kernel,
mixin.Es,2,Class,mixin,Es,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.ARG_LENGTH,3,Field,mixin,TransitionDecl,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.TOK_LENGTH,3,Field,mixin,TransitionDecl,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getARROW(),4,Method,mixin,TransitionDecl,getARROW(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstToken,2,Class,mixin,AstToken,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstNode,2,Class,mixin,AstNode,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.AstTokenInterface,2,Class,mixin,AstTokenInterface,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,package-private
mixin.AstNode.tok,3,Field,mixin,AstNode,tok,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getAST_Exp(),4,Method,mixin,TransitionDecl,getAST_Exp(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_Exp,2,Class,mixin,AST_Exp,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.AstNode.arg,3,Field,mixin,AstNode,arg,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getBlock(),4,Method,mixin,TransitionDecl,getBlock(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Block,2,Class,mixin,Block,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getCONDITION(),4,Method,mixin,TransitionDecl,getCONDITION(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getDO(),4,Method,mixin,TransitionDecl,getDO(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getEDGE(),4,Method,mixin,TransitionDecl,getEDGE(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getQName(),4,Method,mixin,TransitionDecl,getQName(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.QName,2,Class,mixin,QName,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.getStartName(),4,Method,mixin,TransitionDecl,getStartName(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.StartName,2,Class,mixin,StartName,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.printorder(),4,Method,mixin,TransitionDecl,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TransitionDecl.setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),4,Method,mixin,TransitionDecl,setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstNode.InitChildren(),4,Method,mixin,AstNode,InitChildren(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastExpr2,2,Class,mixin,CastExpr2,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastExpression,2,Class,mixin,CastExpression,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.CastExpr2.ARG_LENGTH,3,Field,mixin,CastExpr2,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastExpr2.TOK_LENGTH,3,Field,mixin,CastExpr2,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastExpr2.getAST_TypeName(),4,Method,mixin,CastExpr2,getAST_TypeName(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_TypeName,2,Class,mixin,AST_TypeName,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.CastExpr2.getUnaryExpressionNotPlusMinus(),4,Method,mixin,CastExpr2,getUnaryExpressionNotPlusMinus(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.UnaryExpressionNotPlusMinus,2,Class,mixin,UnaryExpressionNotPlusMinus,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.CastExpr2.printorder(),4,Method,mixin,CastExpr2,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastExpr2.setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),4,Method,mixin,CastExpr2,setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_TypeNameListElem,2,Class,mixin,AST_TypeNameListElem,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstListNode,2,Class,mixin,AstListNode,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.AST_TypeNameListElem.getTName(),4,Method,mixin,AST_TypeNameListElem,getTName(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TName,2,Class,mixin,TName,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.AST_TypeNameListElem.setParms(AstToken tok0; TName arg0),4,Method,mixin,AST_TypeNameListElem,setParms(AstToken tok0; TName arg0),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_TypeNameListElem.setParms(TName arg0),4,Method,mixin,AST_TypeNameListElem,setParms(TName arg0),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ShiftExprChoices,2,Class,mixin,ShiftExprChoices,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.MoreAddExpr,2,Class,mixin,MoreAddExpr,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstList,2,Class,mixin,AstList,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.QuestExpr,2,Class,mixin,QuestExpr,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConditionalExpression,2,Class,mixin,ConditionalExpression,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.QuestExpr.ARG_LENGTH,3,Field,mixin,QuestExpr,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.QuestExpr.TOK_LENGTH,3,Field,mixin,QuestExpr,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.QuestExpr.getConditionalExpression(),4,Method,mixin,QuestExpr,getConditionalExpression(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.QuestExpr.getConditionalOrExpression(),4,Method,mixin,QuestExpr,getConditionalOrExpression(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConditionalOrExpression,2,Class,mixin,ConditionalOrExpression,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.QuestExpr.getExpression(),4,Method,mixin,QuestExpr,getExpression(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Expression,2,Class,mixin,Expression,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.QuestExpr.printorder(),4,Method,mixin,QuestExpr,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.QuestExpr.setParms(ConditionalOrExpression arg0; AstToken tok0; Expression arg1; AstToken tok1; ConditionalExpression arg2),4,Method,mixin,QuestExpr,setParms(ConditionalOrExpression arg0; AstToken tok0; Expression arg1; AstToken tok1; ConditionalExpression arg2),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl,2,Class,mixin,ConDecl,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConstructorDeclaration,2,Class,mixin,ConstructorDeclaration,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.ConDecl.mangleConstructor(),4,Method,mixin,ConDecl,mangleConstructor(),mixinbase,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConstructorDeclaration.mangleConstructor(),4,Method,mixin,ConstructorDeclaration,mangleConstructor(),mixinbase,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.ARG_LENGTH,3,Field,mixin,ConDecl,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.TOK_LENGTH,3,Field,mixin,ConDecl,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.getAST_Modifiers(),4,Method,mixin,ConDecl,getAST_Modifiers(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_Modifiers,2,Class,mixin,AST_Modifiers,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.getAST_ParList(),4,Method,mixin,ConDecl,getAST_ParList(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_ParList,2,Class,mixin,AST_ParList,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.getAST_Stmt(),4,Method,mixin,ConDecl,getAST_Stmt(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_Stmt,2,Class,mixin,AST_Stmt,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.getExplicitConstructorInvocation(),4,Method,mixin,ConDecl,getExplicitConstructorInvocation(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ExplicitConstructorInvocation,2,Class,mixin,ExplicitConstructorInvocation,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.ConDecl.getQName(),4,Method,mixin,ConDecl,getQName(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.getThrowsClause(),4,Method,mixin,ConDecl,getThrowsClause(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ThrowsClause,2,Class,mixin,ThrowsClause,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.ConDecl.printorder(),4,Method,mixin,ConDecl,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ConDecl.setParms(AstOptNode arg0; QName arg1; AstToken tok0; AstOptNode arg2; AstToken tok1; AstOptNode arg3; AstToken tok2; AstOptNode arg4; AstOptNode arg5; AstToken tok3),4,Method,mixin,ConDecl,setParms(AstOptNode arg0; QName arg1; AstToken tok0; AstOptNode arg2; AstToken tok1; AstOptNode arg3; AstToken tok2; AstOptNode arg4; AstOptNode arg5; AstToken tok3),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstOptNode,2,Class,mixin,AstOptNode,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.R4Feature,2,Class,mixin,R4Feature,,kernel,FALSE,FALSE,,TRUE,FALSE,,R4Feature is always kernel,public
mixin.R4Feature.mixinbase,3,Field,mixin,R4Feature,mixinbase,kernel,FALSE,FALSE,,TRUE,FALSE,,R4Feature is always kernel,public
mixin.AstNode._source,3,Field,mixin,AstNode,_source,mixinbase,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstNode.argTokenName(int argNumber),4,Method,mixin,AstNode,argTokenName(int argNumber),mixinbase,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstNode.setArgTokenName(int argNumber; String value),4,Method,mixin,AstNode,setArgTokenName(int argNumber; String value),mixinbase,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.IntLit,2,Class,mixin,IntLit,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Literal,2,Class,mixin,Literal,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.IntLit.ARG_LENGTH,3,Field,mixin,IntLit,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.IntLit.TOK_LENGTH,3,Field,mixin,IntLit,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.IntLit.getINTEGER_LITERAL(),4,Method,mixin,IntLit,getINTEGER_LITERAL(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.IntLit.printorder(),4,Method,mixin,IntLit,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.IntLit.setParms(AstToken tok0),4,Method,mixin,IntLit,setParms(AstToken tok0),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants,2,Class,mixin,kernelConstants,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.ParseTreeStack,3,Field,mixin,kernelConstants,ParseTreeStack,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.PushParseTreeStack(String filename),4,Method,mixin,kernelConstants,PushParseTreeStack(String filename),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.currentFileName,3,Field,mixin,kernelConstants,currentFileName,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.PopParseTreeStack(),4,Method,mixin,kernelConstants,PopParseTreeStack(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.globals(),4,Method,mixin,kernelConstants,globals(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.classFound(String className),4,Method,mixin,kernelConstants,classFound(String className),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.debugAST,3,Field,mixin,kernelConstants,debugAST,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.copyLists,3,Field,mixin,kernelConstants,copyLists,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.LangName,3,Field,mixin,kernelConstants,LangName,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.PackageName,3,Field,mixin,kernelConstants,PackageName,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.jakExtension,3,Field,mixin,kernelConstants,jakExtension,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.currentAbsPath,3,Field,mixin,kernelConstants,currentAbsPath,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.currentFileExt,3,Field,mixin,kernelConstants,currentFileExt,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.kernelConstants.mainProps,3,Field,mixin,kernelConstants,mainProps,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.AstProperties,2,Class,mixin,AstProperties,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.outputFileExtension,3,Field,mixin,kernelConstants,outputFileExtension,Java,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.kernelConstants.localId_ht,3,Field,mixin,kernelConstants,localId_ht,LocalId,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CommandLineArg,2,Class,mixin,CommandLineArg,,kernel,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.CommandLineArg.name,3,Field,mixin,CommandLineArg,name,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.CommandLineArg.layerID,3,Field,mixin,CommandLineArg,layerID,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.CommandLineArg.optional,3,Field,mixin,CommandLineArg,optional,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,package-private
mixin.DefLabel,2,Class,mixin,DefLabel,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.SwitchLabel,2,Class,mixin,SwitchLabel,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.DefLabel.ARG_LENGTH,3,Field,mixin,DefLabel,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.DefLabel.TOK_LENGTH,3,Field,mixin,DefLabel,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.DefLabel.printorder(),4,Method,mixin,DefLabel,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.DefLabel.setParms(AstToken tok0; AstToken tok1),4,Method,mixin,DefLabel,setParms(AstToken tok0; AstToken tok1),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AST_Stmt.MakeAST(String in),4,Method,mixin,AST_Stmt,MakeAST(String in),StringAST,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.R4Feature.StringAST,3,Field,mixin,R4Feature,StringAST,kernel,FALSE,FALSE,,TRUE,FALSE,,R4Feature is always kernel,public
mixin.Parser,2,Class,mixin,Parser,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.ParseException,2,Class,mixin,ParseException,,kernel,true,FALSE,,TRUE,FALSE,,JavaCC files are kernel & fprivate,public
mixin.Parser.getInstance(Reader reader),4,Method,mixin,Parser,getInstance(Reader reader),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Parser.parse(String rule),4,Method,mixin,Parser,parse(String rule),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.AstNode.fatalError(String msg),4,Method,mixin,AstNode,fatalError(String msg),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Mult,2,Class,mixin,Mult,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.MultExprChoices,2,Class,mixin,MultExprChoices,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.Mult.ARG_LENGTH,3,Field,mixin,Mult,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Mult.TOK_LENGTH,3,Field,mixin,Mult,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Mult.printorder(),4,Method,mixin,Mult,printorder(),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.Mult.setParms(AstToken tok0),4,Method,mixin,Mult,setParms(AstToken tok0),syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.FatalError,2,Class,mixin,FatalError,,kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.FatalError.FatalError(),5,Constructor,mixin,FatalError,FatalError(),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.R4Feature.kernel,3,Field,mixin,R4Feature,kernel,kernel,FALSE,FALSE,,TRUE,FALSE,,R4Feature is always kernel,public
mixin.FatalError.FatalError(String s),5,Constructor,mixin,FatalError,FatalError(String s),kernel,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TildeLA,2,Class,mixin,TildeLA,,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.CastLookaheadChoices,2,Class,mixin,CastLookaheadChoices,,syntax,FALSE,FALSE,,FALSE,FALSE,,set by MixinSol,public
mixin.TildeLA.ARG_LENGTH,3,Field,mixin,TildeLA,ARG_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
mixin.TildeLA.TOK_LENGTH,3,Field,mixin,TildeLA,TOK_LENGTH,syntax,FALSE,FALSE,,TRUE,FALSE,,set by MixinSol,public
